Year i_index j_index k_index x_coord_m y_coord_m z_coord_m Gas_Saturation
2030-Jan-01 38 8 13 22810.4 18941.4 1058.45 -9999
2030-Jan-01 1 9 13 16666 19098.6 1045.23 -9999
2030-Jan-01 2 9 13 16832.1 19098.6 1046.51 1e-06
2030-Jan-01 3 9 13 16998.1 19098.6 1049.26 1e-06
2030-Jan-01 4 9 13 17164.2 19098.6 1052.09 1e-06
2030-Jan-01 5 9 13 17330.3 19098.6 1054.17 1e-06
2030-Jan-01 6 9 13 17496.3 19098.6 1058.66 1e-06
2030-Jan-01 7 9 13 17662.4 19098.6 1063.55 1e-06
2030-Jan-01 8 9 13 17828.5 19098.6 1065.64 1e-06
2030-Jan-01 9 9 13 17994.5 19098.6 1065.86 1e-06
2030-Jan-01 10 9 13 18160.6 19098.6 1066.26 1e-06
2030-Jan-01 11 9 13 18326.7 19098.6 1057.78 1e-06
2030-Jan-01 12 9 13 18492.7 19098.6 1048.56 1e-06
2030-Jan-01 13 9 13 18658.8 19098.6 1047.72 1e-06
2030-Jan-01 14 9 13 18824.9 19098.6 1047.99 1e-06
2030-Jan-01 15 9 13 18990.9 19098.6 1049.59 1e-06
2030-Jan-01 16 9 13 19157 19098.6 1052.78 1e-06
2030-Jan-01 17 9 13 19323.1 19098.6 1058.35 1e-06
2030-Jan-01 18 9 13 19489.1 19098.6 1062.33 1e-06
2030-Jan-01 19 9 13 19655.2 19098.6 1053.28 1e-06
2030-Jan-01 20 9 13 19821.3 19098.6 1040.07 1e-06
2030-Jan-01 21 9 13 19987.3 19098.6 1032.71 1e-06
2030-Jan-01 22 9 13 20153.4 19098.6 1027.88 1e-06
2030-Jan-01 23 9 13 20319.5 19098.6 1026 1e-06
2030-Jan-01 24 9 13 20485.5 19098.6 1031.02 1e-06
2030-Jan-01 25 9 13 20651.6 19098.6 1042.49 1e-06
2030-Jan-01 26 9 13 20817.7 19098.6 1058.5 1e-06
2030-Jan-01 27 9 13 20983.7 19098.6 1067.85 1e-06
2030-Jan-01 28 9 13 21149.8 19098.6 1065.6 1e-06
2030-Jan-01 29 9 13 21315.9 19098.6 1065.03 1e-06
2030-Jan-01 30 9 13 21481.9 19098.6 1063.03 1e-06
2030-Jan-01 31 9 13 21648 19098.6 1062.01 1e-06
2030-Jan-01 32 9 13 21814.1 19098.6 1064.31 1e-06
2030-Jan-01 33 9 13 21980.1 19098.6 1065.54 1e-06
2030-Jan-01 34 9 13 22146.2 19098.6 1066.52 -9999
2030-Jan-01 35 9 13 22312.3 19098.6 1067.78 -9999
2030-Jan-01 36 9 13 22478.3 19098.6 1070.67 -9999
2030-Jan-01 37 9 13 22644.4 19098.6 1069.08 -9999
2030-Jan-01 38 9 13 22810.5 19098.6 1061.73 -9999
2030-Jan-01 1 10 13 16666 19255.9 1045.68 -9999
2030-Jan-01 2 10 13 16832.1 19255.9 1045.49 1e-06
2030-Jan-01 3 10 13 16998.1 19255.9 1047.73 1e-06
2030-Jan-01 4 10 13 17164.2 19255.9 1050.76 1e-06
2030-Jan-01 5 10 13 17330.3 19255.9 1054.95 1e-06
2030-Jan-01 6 10 13 17496.3 19255.9 1059.95 1e-06
2030-Jan-01 7 10 13 17662.4 19255.9 1064.13 1e-06
